# id	theme	search page	approved photo page	direct image URL	license	creator
# Curated for ages 3–6: one recognizable subject, no watermark/text overlay, and no Course Sticker duplicate.
peta	benda	https://unsplash.com/s/photos/paper-map	https://unsplash.com/photos/close-up-photography-of-map-yg8Cz-i5U30	https://images.unsplash.com/photo-1461183479101-6c14cd5299c4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8N3x8cGFwZXIlMjBtYXB8ZW58MHx8fHwxNzg3NDc0Njk2fDA&ixlib=rb-4.1.0&q=80&w=1080	Unsplash License	Stephen Monroe
toko	rumah	https://unsplash.com/s/photos/small-shop-storefront	https://unsplash.com/photos/white-and-red-store-front-during-daytime-3k7SoyBf564	https://images.unsplash.com/photo-1605542202587-5849be5054a4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8N3x8c21hbGwlMjBzaG9wJTIwc3RvcmVmcm9udHxlbnwwfHx8fDE3ODc0NzQ2OTh8MA&ixlib=rb-4.1.0&q=80&w=1080	Unsplash License	Spencer Imbrock
yoyo	benda	https://www.pexels.com/search/yo-yo/	https://commons.wikimedia.org/wiki/File:Yo-Yo-Plastic-Toy-Green.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Yo-Yo-Plastic-Toy-Green.jpg/960px-Yo-Yo-Plastic-Toy-Green.jpg	Public domain	Evan-Amos
kado	benda	https://unsplash.com/s/photos/gift-box	https://unsplash.com/photos/wrapped-gift-box-ZLTlHeKbh04	https://images.unsplash.com/photo-1549465220-1a8b9238cd48?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8Mnx8Z2lmdCUyMGJveHxlbnwwfHx8fDE3ODc0NzQ3MDB8MA&ixlib=rb-4.1.0&q=80&w=1080	Unsplash License	Ekaterina Shevchenko
foto	benda	https://www.pexels.com/search/children%20polaroid%20photos/	https://www.pexels.com/photo/child-sitting-by-polaroid-photos-on-wooden-floor-6074062/	https://images.pexels.com/photos/6074062/pexels-photo-6074062.jpeg	Pexels License	cottonbro studio
sapu	rumah	https://unsplash.com/s/photos/broom	https://unsplash.com/photos/a-broom-sitting-on-the-ground-next-to-a-body-of-water-tDF0AY7ECXY	https://images.unsplash.com/photo-1638900999395-22595e1785f6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8Mnx8YnJvb218ZW58MHx8fHwxNzg3NDc0NzAyfDA&ixlib=rb-4.1.0&q=80&w=1080	Unsplash License	Magnus S
tali	benda	https://unsplash.com/s/photos/coiled-rope	https://unsplash.com/photos/brown-rope-on-white-background-mvbAJ3JQFKY	https://images.unsplash.com/photo-1615486172027-23610c38d3a8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8M3x8Y29pbGVkJTIwcm9wZXxlbnwwfHx8fDE3ODc0NzQ3MDN8MA&ixlib=rb-4.1.0&q=80&w=1080	Unsplash License	Mockup Graphics
guci	rumah	https://www.pexels.com/search/colorful%20ceramic%20vase/	https://www.pexels.com/photo/colorful-ceramic-vase-with-intricate-patterns-36802406/	https://images.pexels.com/photos/36802406/pexels-photo-36802406.jpeg	Pexels License	Antoaneta Mehandova
kuda	hewan	https://unsplash.com/s/photos/horse-standing	https://unsplash.com/photos/brown-horse-on-green-grass-hill-Huza8QOO3tc	https://images.unsplash.com/photo-1450052590821-8bf91254a353?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8NHx8aG9yc2UlMjBzdGFuZGluZ3xlbnwwfHx8fDE3ODc0NzQ3MDV8MA&ixlib=rb-4.1.0&q=80&w=1080	Unsplash License	David Dibert
rusa	hewan	https://unsplash.com/s/photos/deer-standing	https://unsplash.com/photos/red-and-gray-deer-oUIc4XH-VUY	https://images.unsplash.com/photo-1537694513497-5f0b0ec361c7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8OHx8ZGVlciUyMHN0YW5kaW5nfGVufDB8fHx8MTc4NzQ3NDcwN3ww&ixlib=rb-4.1.0&q=80&w=1080	Unsplash License	Benjamin Raffetseder
